,Peak_INa,Tau_inact,Voltage
0,-83.80615234375,15.967582983126308,-120.0
1,-39.5556640625,6.278616881485183,-110.0
2,-27.3486328125,0.09949924172835566,-100.0
3,-23.6865234375,0.020163494231231645,-90.0
4,-20.0244140625,6.279899930832387,-80.0
5,-44.13330078125,8.092896580065496,-70.0
6,-219.30419921875,21.9632600212529,-60.0
7,-1273.076171875,9.822822666900109,-50.0
8,-2528.87451171875,4.914493158560792,-40.0
9,-2900.57861328125,2.946279898597334,-30.0
10,-2565.1904296875,1.9595949662272123,-20.0
11,-2328.984375,1.545155270374351,-10.0
12,-1848.6376953125,1.1937630743959244,0.0
13,-1385.68603515625,0.9615056622182674,10.0
14,-927.31201171875,0.8262948911219238,20.0
